X,Y,OBJECTID,Station,Class,Count_,MFCount,GM,SDV,MAX_,P90,Appd_Std,Restr_Std,Lat_DD,Long_DD,Grow_Area,GlobalID
401534.831399999558926,4823929.0382,760,WH017.00,A,30,30,4.4,0.67,440,32.8,31,163,43.5618200004369,-70.21919999988,WH,e7e2c89c-c526-474d-812a-3c6813703bea
399709.352,4840155.8582,775,WI010.70,P,30,30,38.9,0.65,1700,271.2,31,163,43.7076500000388,-70.2448099999977,WI,a95021f4-44e2-4cf4-8202-b736c93d1ef4
401907.833200000226498,4839944.3604,780,WI015.00,CA,30,30,3.1,0.49,98,13.6,31,163,43.70604000019,-70.2174900000372,WI,0f88f7c4-ebc2-466e-aa97-410afca42511
401834.7549,4840619.73369999975,781,WI017.00,R,30,30,4.2,0.53,128,20.4,31,163,43.7121099997983,-70.2185200004972,WI,6c10dd30-64f6-4a2f-b088-a25d73797114
401963.919700000435114,4841129.94899999909,782,WI017.50,CA,30,30,2.5,0.33,80,7,31,163,43.7167199999028,-70.2170099997223,WI,df4e41be-8c4c-480d-9ed0-e760cb59842f
401774.052699999883771,4840984.9929,783,WI019.00,R,30,30,5.8,0.72,1260,48.6,31,163,43.7153899995871,-70.2193400000656,WI,88c9cc8b-8aad-4155-925b-aeea76a7b4f0
401595.668200000189245,4841619.707699999213,784,WI020.00,R,30,30,6.3,0.65,900,44,31,163,43.7210800002989,-70.2216700005755,WI,60c99520-25eb-4156-966c-398d48462ad9
402999.521599999628961,4842865.556299999356,786,WI025.00,CA,30,30,2.7,0.37,58,8.3,31,163,43.7324800003513,-70.2044700001117,WI,0f9d4800-30fd-4739-aa71-042eb0eb354b
403186.70160000026226,4843274.971499999985,787,WI026.00,R,30,30,4.5,0.5,44,19.8,31,163,43.7361899999751,-70.2022200005534,WI,8c5d8540-5f15-46d0-acdb-bbe0f918732b
403667.638299999758601,4843782.3439,788,WI027.00,A,30,30,4.7,0.63,240,30.5,31,163,43.7408200004055,-70.196340000292,WI,03e3c8b9-2690-44fd-b12b-62ebac484115
403589.298399999738,4845383.130899999291,790,WI028.50,A,30,30,3.2,0.47,138,13.2,31,163,43.7552200000778,-70.1976000005199,WI,c9b4a63b-61c5-413b-8e7c-5420ddf1d8f7
403741.382199999876,4845710.863099999726,791,WI029.00,A,30,30,3.2,0.49,280,14,31,163,43.7581899999657,-70.1957699997688,WI,6fc6c3fb-867c-4ec8-b8be-49d3b1cf0961
403795.213700000196695,4846818.738299999386,792,WI030.00,A,30,30,4.4,0.62,140,28.5,31,163,43.7681699996247,-70.1952999996364,WI,53ed3299-d02b-4289-b65e-d56f058a0001
404909.493599999696016,4847617.016699999571,794,WI033.00,A,30,30,3.7,0.54,130,18.5,31,163,43.7755000002544,-70.181599999427,WI,9be5b5db-e1cc-4da7-a8b4-1305e108bc32
405116.471,4846211.039499999955,796,WI034.10,A,30,30,2.8,0.46,300,11,31,163,43.7628700001806,-70.1787799993907,WI,83ca20ca-9543-4871-9869-707bdebeee57
405621.611600000411272,4846121.6653,797,WI036.00,P,30,30,3,0.36,62,8.9,31,163,43.7621299996053,-70.1724899998331,WI,5622484d-16b4-43b9-9c70-208d1cf8097a
406207.289699999616,4847177.606599999592,798,WI038.00,P,30,30,6.3,0.89,1700,88,31,163,43.7717100001748,-70.1654000000424,WI,d1866197-f16f-4bb4-a516-f33d11f7056b
407202.410000000149012,4847536.9253,799,WI040.00,P,30,30,4.4,0.5,140,19.6,31,163,43.775070000136,-70.1531000001212,WI,e2812be6-1506-4bc6-912d-99dfdc3307a3
407214.614599999972,4848239.9297,800,WI041.00,P,30,30,9.1,0.63,140,60.3,31,163,43.7813999995911,-70.153069999906,WI,ee48fd6e-5f5b-4599-8594-a9000eb9ddff
407443.802899999544024,4849268.7313,804,WI048.00,CR,30,30,11.2,0.77,1700,110.2,31,163,43.7906899998779,-70.1503999999567,WI,cbe56d52-1686-4d6e-a0f4-855e998aaaba
407228.441700000315905,4851657.8649,806,WI051.00,CA,30,30,4.6,0.5,140,22.5,31,163,43.8121700001904,-70.1534899993957,WI,dafc4893-51af-4944-b0aa-34401a7d0316
407136.53760000038892,4851643.594499999657,807,WI051.50,R,30,30,6.9,0.57,116,38.2,31,163,43.8120300004094,-70.1546299994734,WI,a7112239-55ca-4310-b52f-00f0a959c032
407241.5981,4851043.3725,808,WI053.00,CA,30,30,3.4,0.4,52,11.4,31,163,43.8066400001659,-70.1532199994881,WI,c4925a34-3abd-4862-8955-bf2374430a00
407453.465200000442564,4849963.9967,809,WI054.00,CA,30,30,3.3,0.3,13,9.1,31,163,43.7969500001817,-70.150400000541,WI,608cbd7f-85fb-4d7e-858d-123f92dc055e
408361.456199999898672,4850049.1947,810,WI055.00,CA,30,30,3.6,0.4,40,12.4,31,163,43.7978299995473,-70.1391300004759,WI,06b359f2-25bb-47de-9004-d7935f7f0431
408425.421799999661744,4850429.339199999347,811,WI055.20,R,30,30,14.6,0.71,1700,122.2,31,163,43.8012599998312,-70.1383999993858,WI,be71e745-ade5-4498-82a1-d38393d95f81
408557.440600000321865,4849789.8924,812,WI055.50,CA,30,30,4.5,0.4,70,16.2,31,163,43.7955199997279,-70.1366500000912,WI,a5fd7cc1-dade-46b2-835d-ab75a03392d9
